Notes	Census Region	Census Region Code	State	State Code	Month	Month Code	Deaths	Population	Crude Rate
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Nov., 2021 "	2021/11	714	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Connecticut	9	"Dec., 2021 "	2021/12	817	Not Applicable	Not Applicable
Total	Census Region 1: Northeast	CENS-R1	Connecticut	9			31181	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Jan., 2018"	2018/01	272	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Feb., 2018"	2018/02	269	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Mar., 2018"	2018/03	296	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Apr., 2018"	2018/04	292	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"May, 2018"	2018/05	254	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Jun., 2018"	2018/06	250	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Jul., 2018"	2018/07	304	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Aug., 2018"	2018/08	249	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Sep., 2018"	2018/09	269	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Oct., 2018"	2018/10	265	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Nov., 2018"	2018/11	299	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Dec., 2018"	2018/12	308	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Jan., 2019"	2019/01	302	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Feb., 2019"	2019/02	263	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Mar., 2019"	2019/03	336	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Apr., 2019"	2019/04	274	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"May, 2019"	2019/05	257	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Jun., 2019"	2019/06	278	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Jul., 2019"	2019/07	296	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Aug., 2019"	2019/08	298	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Sep., 2019"	2019/09	246	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Oct., 2019"	2019/10	307	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Nov., 2019"	2019/11	293	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Dec., 2019"	2019/12	288	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Jan., 2020"	2020/01	316	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Feb., 2020"	2020/02	289	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Mar., 2020"	2020/03	309	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Apr., 2020"	2020/04	283	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"May, 2020"	2020/05	324	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Jun., 2020"	2020/06	283	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Jul., 2020"	2020/07	333	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Aug., 2020"	2020/08	284	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Sep., 2020"	2020/09	302	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Oct., 2020"	2020/10	311	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Nov., 2020"	2020/11	283	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Dec., 2020"	2020/12	322	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Jan., 2021 "	2021/01	348	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Feb., 2021 "	2021/02	293	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Mar., 2021 "	2021/03	299	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Apr., 2021 "	2021/04	326	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"May, 2021 "	2021/05	343	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Jun., 2021 "	2021/06	350	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Jul., 2021 "	2021/07	319	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Aug., 2021 "	2021/08	330	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Sep., 2021 "	2021/09	385	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Oct., 2021 "	2021/10	394	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Nov., 2021 "	2021/11	397	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Maine	23	"Dec., 2021 "	2021/12	462	Not Applicable	Not Applicable
Total	Census Region 1: Northeast	CENS-R1	Maine	23			14650	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Jan., 2018"	2018/01	1224	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Feb., 2018"	2018/02	1025	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Mar., 2018"	2018/03	1149	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Apr., 2018"	2018/04	1058	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"May, 2018"	2018/05	1176	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Jun., 2018"	2018/06	1114	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Jul., 2018"	2018/07	1116	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Aug., 2018"	2018/08	1092	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Sep., 2018"	2018/09	1035	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Oct., 2018"	2018/10	1071	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Nov., 2018"	2018/11	1096	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Dec., 2018"	2018/12	1116	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Jan., 2019"	2019/01	1193	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Feb., 2019"	2019/02	1125	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Mar., 2019"	2019/03	1140	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Apr., 2019"	2019/04	1078	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"May, 2019"	2019/05	1057	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Jun., 2019"	2019/06	1044	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Jul., 2019"	2019/07	1152	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Aug., 2019"	2019/08	1067	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Sep., 2019"	2019/09	1032	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Oct., 2019"	2019/10	1087	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Nov., 2019"	2019/11	1084	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Dec., 2019"	2019/12	1182	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Jan., 2020"	2020/01	1134	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Feb., 2020"	2020/02	1090	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Mar., 2020"	2020/03	1219	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Apr., 2020"	2020/04	1591	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"May, 2020"	2020/05	1482	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Jun., 2020"	2020/06	1196	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Jul., 2020"	2020/07	1167	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Aug., 2020"	2020/08	1102	Not Applicable	Not Applicable
