"Notes"	"Census Region"	"Census Region Code"	"County"	"County Code"	"Month"	"Month Code"	Deaths
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jan., 2020"	"2020/01"	32
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Feb., 2020"	"2020/02"	26
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Mar., 2020"	"2020/03"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Apr., 2020"	"2020/04"	37
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"May, 2020"	"2020/05"	23
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jun., 2020"	"2020/06"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jul., 2020"	"2020/07"	36
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Aug., 2020"	"2020/08"	34
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Sep., 2020"	"2020/09"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Oct., 2020"	"2020/10"	37
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Nov., 2020"	"2020/11"	27
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Dec., 2020"	"2020/12"	37
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jan., 2021 "	"2021/01"	28
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Feb., 2021 "	"2021/02"	32
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Mar., 2021 "	"2021/03"	25
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Apr., 2021 "	"2021/04"	30
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"May, 2021 "	"2021/05"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jun., 2021 "	"2021/06"	25
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Jul., 2021 "	"2021/07"	24
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Aug., 2021 "	"2021/08"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Sep., 2021 "	"2021/09"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Oct., 2021 "	"2021/10"	26
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Nov., 2021 "	"2021/11"	31
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"Dec., 2021 "	"2021/12"	33
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Jan., 2020"	"2020/01"	31
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Feb., 2020"	"2020/02"	36
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Mar., 2020"	"2020/03"	28
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Apr., 2020"	"2020/04"	30
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"May, 2020"	"2020/05"	35
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Jun., 2020"	"2020/06"	36
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Jul., 2020"	"2020/07"	32
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Aug., 2020"	"2020/08"	35
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Sep., 2020"	"2020/09"	30
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Oct., 2020"	"2020/10"	34
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Nov., 2020"	"2020/11"	28
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Dec., 2020"	"2020/12"	33
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Jan., 2021 "	"2021/01"	42
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Feb., 2021 "	"2021/02"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Mar., 2021 "	"2021/03"	41
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Apr., 2021 "	"2021/04"	26
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"May, 2021 "	"2021/05"	35
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Jun., 2021 "	"2021/06"	27
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Jul., 2021 "	"2021/07"	29
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Aug., 2021 "	"2021/08"	38
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Sep., 2021 "	"2021/09"	38
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Oct., 2021 "	"2021/10"	40
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Nov., 2021 "	"2021/11"	33
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"Dec., 2021 "	"2021/12"	39
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Jul., 2020"	"2020/07"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Aug., 2020"	"2020/08"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Nov., 2020"	"2020/11"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Feb., 2021 "	"2021/02"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Litchfield County, CT"	"09005"	"Aug., 2021 "	"2021/08"	13
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Jan., 2020"	"2020/01"	27
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Feb., 2020"	"2020/02"	32
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Mar., 2020"	"2020/03"	35
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Apr., 2020"	"2020/04"	32
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"May, 2020"	"2020/05"	43
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Jun., 2020"	"2020/06"	28
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Jul., 2020"	"2020/07"	42
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Aug., 2020"	"2020/08"	29
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Sep., 2020"	"2020/09"	32
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Oct., 2020"	"2020/10"	34
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Nov., 2020"	"2020/11"	41
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Dec., 2020"	"2020/12"	42
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Jan., 2021 "	"2021/01"	30
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Feb., 2021 "	"2021/02"	32
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Mar., 2021 "	"2021/03"	44
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Apr., 2021 "	"2021/04"	31
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"May, 2021 "	"2021/05"	27
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Jun., 2021 "	"2021/06"	31
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Jul., 2021 "	"2021/07"	33
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Aug., 2021 "	"2021/08"	24
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Sep., 2021 "	"2021/09"	25
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Oct., 2021 "	"2021/10"	27
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Nov., 2021 "	"2021/11"	35
	"Census Region 1: Northeast"	"CENS-R1"	"New Haven County, CT"	"09009"	"Dec., 2021 "	"2021/12"	34
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Jan., 2020"	"2020/01"	14
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Apr., 2020"	"2020/04"	13
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Jun., 2020"	"2020/06"	16
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Oct., 2020"	"2020/10"	10
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Feb., 2021 "	"2021/02"	14
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Mar., 2021 "	"2021/03"	10
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"May, 2021 "	"2021/05"	13
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Jun., 2021 "	"2021/06"	11
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Jul., 2021 "	"2021/07"	13
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Aug., 2021 "	"2021/08"	17
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Oct., 2021 "	"2021/10"	12
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Nov., 2021 "	"2021/11"	11
	"Census Region 1: Northeast"	"CENS-R1"	"New London County, CT"	"09011"	"Dec., 2021 "	"2021/12"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Tolland County, CT"	"09013"	"Jul., 2020"	"2020/07"	11
	"Census Region 1: Northeast"	"CENS-R1"	"Tolland County, CT"	"09013"	"Oct., 2020"	"2020/10"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Windham County, CT"	"09015"	"May, 2021 "	"2021/05"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Androscoggin County, ME"	"23001"	"Jul., 2020"	"2020/07"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Androscoggin County, ME"	"23001"	"Oct., 2020"	"2020/10"	11
	"Census Region 1: Northeast"	"CENS-R1"	"Androscoggin County, ME"	"23001"	"Aug., 2021 "	"2021/08"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"May, 2020"	"2020/05"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Jun., 2020"	"2020/06"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Jul., 2020"	"2020/07"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Sep., 2020"	"2020/09"	11
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Oct., 2020"	"2020/10"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Dec., 2020"	"2020/12"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Jan., 2021 "	"2021/01"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Mar., 2021 "	"2021/03"	11
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"May, 2021 "	"2021/05"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Sep., 2021 "	"2021/09"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Cumberland County, ME"	"23005"	"Nov., 2021 "	"2021/11"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Kennebec County, ME"	"23011"	"May, 2020"	"2020/05"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Kennebec County, ME"	"23011"	"Oct., 2020"	"2020/10"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Kennebec County, ME"	"23011"	"Jul., 2021 "	"2021/07"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"Apr., 2020"	"2020/04"	11
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"May, 2020"	"2020/05"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"Jul., 2020"	"2020/07"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"Dec., 2020"	"2020/12"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"Jan., 2021 "	"2021/01"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"May, 2021 "	"2021/05"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"Jun., 2021 "	"2021/06"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Penobscot County, ME"	"23019"	"Sep., 2021 "	"2021/09"	11
	"Census Region 1: Northeast"	"CENS-R1"	"York County, ME"	"23031"	"Oct., 2020"	"2020/10"	10
	"Census Region 1: Northeast"	"CENS-R1"	"York County, ME"	"23031"	"Dec., 2020"	"2020/12"	10
	"Census Region 1: Northeast"	"CENS-R1"	"York County, ME"	"23031"	"Apr., 2021 "	"2021/04"	11
	"Census Region 1: Northeast"	"CENS-R1"	"York County, ME"	"23031"	"May, 2021 "	"2021/05"	10
	"Census Region 1: Northeast"	"CENS-R1"	"York County, ME"	"23031"	"Jun., 2021 "	"2021/06"	10
	"Census Region 1: Northeast"	"CENS-R1"	"York County, ME"	"23031"	"Nov., 2021 "	"2021/11"	15
